File ADT# Time#1   Time#2   Time#3   Ignore
File1 1   0.062     0.047     0.062     0      
File2 1   0.031     0.031     0.047     0      
File3 1   22.635     22.698     22.855     0      
File4 1   14.992     14.398     15.616     0      
File1 2   0.062     0.062     0.063     0      
File2 2   0.031     0.032     0.031     0      
File3 2   106.719     105.878     107.782     0      
File4 2   54.444     61.043     61.121     0      
File1 3   0.031     0.015     0.031     0      
File2 3   0.031     0.015     0.032     0      
File3 3   0.015     0.016     0.031     0      
File4 3   0.031     0.015     0.016     0      
File1 4   0.062     0.062     0.047     0      
File2 4   0.031     0.031     0.047     0      
File3 4   0.031     0.031     0.047     0      
File4 4   0.031     0.047     0.031     0      
File1 5   0.015     0.031     0.015     0      
File2 5   0.015     0.031     0.032     0      
File3 5   0.015     0.031     0.016     0      
File4 5   0.031     0.03     0.016     0      
File1 6   0.14     0.14     0.156     0      
File2 6   0.093     0.078     0.078     0      
File3 6   0.108     0.109     0.094     0      
File4 6   0.312     0.312     0.296     0      
